Correct Order,Num Statements,Statement 1,Statement 2,Statement 3,Statement 4,Statement 5,front_end,style,instruction
"bird,cat,rabbit,horse,dog,goat",5,bird's cage is exactly 4 positions ahead of dog's,rabbit is ahead of horse,There are 2 animals behind horse,rabbit is ahead of goat,rabbit is not next to bird,"front, end","['dotted circles', 'blank', 'horizontal lines', 'diagonal stripes', 'horizontal stripes', 'vertical lines']",Determine the front-to-back cage order of the animals using the given statements.
"bird,dog,goat,horse,rabbit,cat",5,dog is behind bird,bird's cage is exactly 3 positions ahead of horse's,goat is not in the last cage,There are 4 animals behind dog,bird's cage is exactly 4 positions ahead of rabbit's,"front, end","['dotted circles', 'blank', 'vertical lines', 'horizontal lines', 'diagonal stripes', 'horizontal stripes']",Determine the front-to-back cage order of the animals using the given statements.
"C,A,F,D,B,E",5,A is behind C,E is behind D,A is at position 2,D is behind F,E is not next to D,"front, end","['dotted circles', 'horizontal lines', 'diagonal stripes', 'blank', 'horizontal stripes', 'vertical lines']",Determine the front-to-back order of the people using the given statements.
"E,D,C,B,F,A",5,E is not next to C,E is ahead of C,C is ahead of F,F is ahead of A,There are 2 people behind B,"front, end","['vertical lines', 'horizontal lines', 'dotted circles', 'blank', 'horizontal stripes', 'diagonal stripes']",Determine the front-to-back order of the people using the given statements.
"Paul,Jacob,Thomas,Eric,Jennifer,Linda",5,Jacob is not the youngest,Jennifer is somewhere between Linda and Thomas,Eric is somewhere between Thomas and Jennifer,Paul is younger than Jennifer,There are 2 people younger than Thomas,"young, old","['vertical lines', 'dotted circles', 'horizontal stripes', 'blank', 'diagonal stripes', 'horizontal lines']",Determine the age order of the people from youngest to oldest using the given statements.
"Linda,Thomas,Eric,Jennifer,Jacob,Paul",5,Eric is somewhere between Thomas and Jacob,There are 3 people younger than Jennifer,Thomas is younger than Eric,Thomas is not the youngest,Jacob is younger than Paul,"young, old","['horizontal lines', 'blank', 'vertical lines', 'dotted circles', 'horizontal stripes', 'diagonal stripes']",Determine the age order of the people from youngest to oldest using the given statements.
"A,C,B,E,D,F",5,C is behind A,There are 2 people in front of B,F is not next to C,E is not next to F,E is somewhere between B and F,"front, end","['dotted circles', 'horizontal lines', 'blank', 'diagonal stripes', 'vertical lines', 'horizontal stripes']",Determine the front-to-back order of the people using the given statements.
"blue book,orange book,white book,black book,red book,yellow book",5,blue book is cheaper than red book,white book is exactly 2 ranks cheaper than red book,There are 3 books cheaper than black book,orange book is exactly 3 ranks cheaper than red book,black book is not the cheapest,"cheap, expensive","['dotted circles', 'horizontal lines', 'horizontal stripes', 'blank', 'diagonal stripes', 'vertical lines']",Determine the price order of the colored books from cheapest to most expensive using the given statements.
"D,F,A,E,B,C",5,F is not next to E,F is somewhere between D and B,F is not next to B,There are 3 people in front of E,C is not next to E,"front, end","['dotted circles', 'horizontal stripes', 'diagonal stripes', 'blank', 'horizontal lines', 'vertical lines']",Determine the front-to-back order of the people using the given statements.
"yellow book,blue book,black book,white book,orange book,red book",5,yellow book is exactly 2 ranks cheaper than black book,yellow book is cheaper than orange book,white book is more expensive than black book,orange book is cheaper than red book,orange book is more expensive than white book,"cheap, expensive","['dotted circles', 'horizontal stripes', 'diagonal stripes', 'blank', 'horizontal lines', 'vertical lines']",Determine the price order of the colored books from cheapest to most expensive using the given statements.
"Eric,Jacob,Paul,Jennifer,Linda,Thomas",5,Jennifer is older than Paul,Jennifer is younger than Linda,Paul is older than Jacob,Eric is younger than Jacob,Linda is somewhere between Thomas and Jennifer,"young, old","['diagonal stripes', 'horizontal stripes', 'dotted circles', 'blank', 'horizontal lines', 'vertical lines']",Determine the age order of the people from youngest to oldest using the given statements.
"Bob,David,Brown,May,Mia,Tom",5,Mia is shorter than Tom,There are 4 people taller than David,May is taller than Brown,David is taller than Bob,May is shorter than Mia,"short, tall","['dotted circles', 'horizontal lines', 'horizontal stripes', 'diagonal stripes', 'blank', 'vertical lines']",Determine the height order of the people from shortest to tallest using the given statements.
"cat,bird,dog,rabbit,goat,horse",5,dog is not next to horse,bird's cage is exactly 4 positions ahead of horse's,dog is behind cat,cat's cage is exactly 2 positions ahead of dog's,goat is not next to dog,"front, end","['dotted circles', 'horizontal stripes', 'horizontal lines', 'blank', 'diagonal stripes', 'vertical lines']",Determine the front-to-back cage order of the animals using the given statements.
"horse,goat,dog,bird,rabbit,cat",5,rabbit is ahead of cat,goat's cage is exactly 3 positions ahead of rabbit's,bird is at position 4,bird is ahead of cat,dog is behind goat,"front, end","['dotted circles', 'horizontal lines', 'vertical lines', 'blank', 'diagonal stripes', 'horizontal stripes']",Determine the front-to-back cage order of the animals using the given statements.
"Eric,Jennifer,Jacob,Paul,Linda,Thomas",5,Jacob is younger than Paul,Thomas is older than Paul,Linda is somewhere between Thomas and Paul,Eric is younger than Jennifer,There are 2 people younger than Jacob,"young, old","['dotted circles', 'diagonal stripes', 'horizontal lines', 'blank', 'horizontal stripes', 'vertical lines']",Determine the age order of the people from youngest to oldest using the given statements.
"dog,rabbit,horse,goat,bird,cat",5,rabbit's cage is exactly 4 positions ahead of cat's,rabbit is ahead of cat,horse is not next to bird,rabbit is not next to bird,There are 5 animals behind dog,"front, end","['dotted circles', 'vertical lines', 'horizontal stripes', 'diagonal stripes', 'horizontal lines', 'blank']",Determine the front-to-back cage order of the animals using the given statements.
