Unnamed: 0,Correct Order,Num Statements,Statement 1,Statement 2,Statement 3,Statement 4,Statement 5,front_end,style,instruction
90,"blue book,orange book,white book,black book,red book,yellow book",5,blue book is cheaper than red book,white book is exactly 2 ranks cheaper than red book,There are 3 books cheaper than black book,orange book is exactly 3 ranks cheaper than red book,black book is not the cheapest,"cheap, expensive","['dotted circles', 'blank', 'blank', 'horizontal lines', 'blank', 'blank']",Determine the price order of the colored books from cheapest to most expensive using the given statements.
91,"D,F,A,E,B,C",5,F is not next to E,F is somewhere between D and B,F is not next to B,There are 3 people in front of E,C is not next to E,"front, end","['dotted circles', 'blank', 'blank', 'horizontal lines', 'blank', 'blank']",Determine the front-to-back order of the people using the given statements.
92,"yellow book,blue book,black book,white book,orange book,red book",5,yellow book is exactly 2 ranks cheaper than black book,yellow book is cheaper than orange book,white book is more expensive than black book,orange book is cheaper than red book,orange book is more expensive than white book,"cheap, expensive","['dotted circles', 'blank', 'blank', 'horizontal lines', 'blank', 'blank']",Determine the price order of the colored books from cheapest to most expensive using the given statements.
93,"Eric,Jacob,Paul,Jennifer,Linda,Thomas",5,Jennifer is older than Paul,Jennifer is younger than Linda,Paul is older than Jacob,Eric is younger than Jacob,Linda is somewhere between Thomas and Jennifer,"young, old","['blank', 'blank', 'dotted circles', 'horizontal lines', 'blank', 'blank']",Determine the age order of the people from youngest to oldest using the given statements.
94,"Bob,David,Brown,May,Mia,Tom",5,Mia is shorter than Tom,There are 4 people taller than David,May is taller than Brown,David is taller than Bob,May is shorter than Mia,"short, tall","['dotted circles', 'blank', 'blank', 'blank', 'horizontal lines', 'blank']",Determine the height order of the people from shortest to tallest using the given statements.
95,"cat,bird,dog,rabbit,goat,horse",5,dog is not next to horse,bird's cage is exactly 4 positions ahead of horse's,dog is behind cat,cat's cage is exactly 2 positions ahead of dog's,goat is not next to dog,"front, end","['dotted circles', 'blank', 'blank', 'horizontal lines', 'blank', 'blank']",Determine the front-to-back cage order of the animals using the given statements.
96,"horse,goat,dog,bird,rabbit,cat",5,rabbit is ahead of cat,goat's cage is exactly 3 positions ahead of rabbit's,bird is at position 4,bird is ahead of cat,dog is behind goat,"front, end","['dotted circles', 'blank', 'blank', 'horizontal lines', 'blank', 'blank']",Determine the front-to-back cage order of the animals using the given statements.
97,"Eric,Jennifer,Jacob,Paul,Linda,Thomas",5,Jacob is younger than Paul,Thomas is older than Paul,Linda is somewhere between Thomas and Paul,Eric is younger than Jennifer,There are 2 people younger than Jacob,"young, old","['dotted circles', 'blank', 'blank', 'horizontal lines', 'blank', 'blank']",Determine the age order of the people from youngest to oldest using the given statements.
98,"dog,rabbit,horse,goat,bird,cat",5,rabbit's cage is exactly 4 positions ahead of cat's,rabbit is ahead of cat,horse is not next to bird,rabbit is not next to bird,There are 5 animals behind dog,"front, end","['dotted circles', 'blank', 'blank', 'blank', 'blank', 'horizontal lines']",Determine the front-to-back cage order of the animals using the given statements.
0,"E,D,A,C,B,F",5,A is ahead of C,B is ahead of F,D is ahead of A,There are 5 people behind E,C is ahead of B,"front, end","['blank', 'blank', 'dotted circles', 'horizontal lines', 'blank', 'blank']",Determine the front-to-back order of the people using the given statements.
